,工作名称,工作城市,工作地点,工作公司,工作薪资,最大薪资(K),最小薪资(K),平均工资(K),工作学历,工作标签,工作经验,招聘详情页链接
1311,Python工程师,天津,天津·西青区·张家窝,卓漫科技,6-11K,11,6,8.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/3a755c690cc05fcb1Hd_39S5GA~~.html
1312,Python少儿编程老师,天津,天津·河东区·上杭路,遥远教育,5-8K,8,5,6.5,大专,培训机构,在校/应届,https://www.zhipin.com/gongsi/4a0212b27ecadfe90nF83ti9GQ~~.html
1313,软件工程师,天津,天津·河西区·土城,TOEC,9-13K,13,9,11.0,本科,通信/网络设备,经验不限,https://www.zhipin.com/gongsi/6bd4015aca420c2d03Vz2dS1.html
1315,Python开发工程师,天津,天津·津南区·八里台,北京易华录,12-20K·14薪,20,12,16.0,硕士,互联网,1-3年,https://www.zhipin.com/gongsi/f921e915cc4a57763nB529o~.html
1316,物联网开发工程师,天津,天津·红桥区·丁字沽,睿驰,4-6K,6,4,5.0,本科,新能源,1-3年,https://www.zhipin.com/gongsi/bc15e41c6b5d8c430HVz39i_EA~~.html
1317,系统架构师,天津,天津·和平区·小白楼,深思维,15-24K,24,15,19.5,本科,互联网,5-10年,https://www.zhipin.com/gongsi/bcbdc128ea3b97a2031y3NS-.html
1318,python  高级研发工程师,天津,天津·河东区·富民路,八分量,16-24K,24,16,20.0,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/c88537289667cee11nxz29W1EVs~.html
1319,Linux软件开发工程师,天津,天津·红桥区·西沽,乘云软件,12-24K,24,12,18.0,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/ea721b5b8b3970db1nN50961GFY~.html
1320,后端开发工程师,天津,天津·河西区·尖山,花生,20-40K·13薪,40,20,30.0,本科,在线教育,3-5年,https://www.zhipin.com/gongsi/21f01cafb948f9371nd92d64FlU~.html
1321,后端开发,天津,天津,天津楚能,18-25K,25,18,21.5,本科,电力/热力/燃气/水利,5-10年,https://www.zhipin.com/gongsi/a11f954e0d1cd78e0nx80tW1GA~~.html
1322,高级devops研发工程师,天津,天津·东丽区·华明,未来电视有限公司,10-20K,20,10,15.0,本科,媒体,3-5年,https://www.zhipin.com/gongsi/916b54d4dfd540700nR83tW_.html
1323,Python,天津,天津·津南区·双港,天津华大科技,6-11K,11,6,8.5,本科,智能硬件,3-5年,https://www.zhipin.com/gongsi/28cb5f57d8612cda0X1-3dq0FA~~.html
1324,Python研发工程师,天津,天津,麒麟软件,12-24K·15薪,24,12,18.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/d83be68b408c46850Hx_2dW4Fg~~.html
1325,高级Python开发工程师,天津,天津·河西区·马场街,微企信息,13-26K,26,13,19.5,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/3ffa7eacd56a53571HV70t68.html
1326,Python开发工程师（odoo开发）,天津,天津·西青区·张家窝,果实科技,12-18K,18,12,15.0,大专,医疗健康,1-3年,https://www.zhipin.com/gongsi/fff0b330912992d51HZ53d67.html
1327,网络爬虫工程师,天津,天津·西青区·大学城,戎行集团,15-20K,20,15,17.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/fd75fd3f5bb06c791nFy2NW6ElM~.html
1328,Python高级开发工程师,天津,天津,智铸华信,11-20K,20,11,15.5,本科,通信/网络设备,5-10年,https://www.zhipin.com/gongsi/6b84cca11728fffc1ndz3ti7GVI~.html
1329,Python后端开发工程师,天津,天津,视通智能,5-9K,9,5,7.0,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/d84cdd220ca9a86033R_3dm7Fg~~.html
1330,python工程师,天津,天津·武清区·徐官屯,元意生,20-40K,40,20,30.0,本科,电子商务,1-3年,https://www.zhipin.com/gongsi/a8912b328435a5b51nx_2d--F1M~.html
1331,Python开发工程师,天津,天津·西青区·张家窝,中科曙光,13-26K,26,13,19.5,本科,互联网,经验不限,https://www.zhipin.com/gongsi/31b75c73e218524c33182tw~.html
1332,Python开发工程师,天津,天津·南开区·南开大学,先特网络,15-20K·14薪,20,15,17.5,大专,计算机服务,3-5年,https://www.zhipin.com/gongsi/083a9d591a4d7c101nF42tm4Fw~~.html
1333,工具开发工程师,天津,天津·西青区·侯台,南大通用,13-20K,20,13,16.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/94028be4e7366b3d1nN_0t-0.html
1334,Python开发工程师,天津,天津·武清区·北郑,华夏融智,10-13K,13,10,11.5,本科,互联网,3-5年,https://www.zhipin.com/gongsi/e8684ad24a8cd4040HF73t-4Ew~~.html
1335,大气咨询师,天津,天津·南开区·风荷园,智慧泉,6-11K,11,6,8.5,本科,环保,经验不限,https://www.zhipin.com/gongsi/96f702860f237aaf1nd_3ti1F1I~.html
1336,游戏开发Python工程师,天津,天津·西青区·大学城,麦块不落,4-9K·13薪,9,4,6.5,大专,游戏,经验不限,https://www.zhipin.com/gongsi/2890f15e0bd3039d1nx629i8EFo~.html
1337,WEB后台开发工程师,天津,天津·滨海新区·工农村,毅斌鼎,8-12K,12,8,10.0,本科,石油/石化,3-5年,https://www.zhipin.com/gongsi/ae55dabc979736730HV83Nq-GQ~~.html
1338,后端开发工程师,天津,天津·和平区·南市,场边文化,8-12K,12,8,10.0,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/1c88aa1d8c50e03d1Hx53dW-Eg~~.html
1339,Python,天津,天津·和平区·劝业场,智数智造网络有限公司,11-20K,20,11,15.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/11f22a018ebb9be91nx409S1FlE~.html
1340,RPA实施开发工程师,天津,天津·河西区·佟楼,奔腾达,7-12K,12,7,9.5,本科,计算机服务,1-3年,https://www.zhipin.com/gongsi/02e2d2853c61f1701H1z0969.html
1342,Python讲师,天津,天津·南开区·黄河道,乐英教育,3-6K,6,3,4.5,本科,培训机构,1-3年,https://www.zhipin.com/gongsi/7bd4110f84f7395633F83NS9GA~~.html
1343,【产品研发部——python研发工程师】,天津,天津·红桥区·水游城,融合通信,10-15K,15,10,12.5,硕士,通信/网络设备,1-3年,https://www.zhipin.com/gongsi/6cf2c26a2978e2061nZ72tW5Fg~~.html
